event_id,project_id,project_title,program,primary_tx,description_excerpt,benefits_excerpt,start_trl_reference_only,end_trl_label_source,target_label,alg1_full_fusion_pred,alg1_full_fusion_confidence,alg2_no_start_pseudo_start_pred,alg2_no_start_pseudo_start_confidence,alg3_rubric_explainable_pred,alg3_rubric_explainable_confidence,alg4_gridsearched_svc_retrieval_pred,alg4_gridsearched_svc_retrieval_confidence,source,deployment_safe_best_by_accuracy,deployment_safe_best_by_macro_f1,upper_bound_with_start_trl
RAW-TEST-0001,101838,An Affordable Autonomous Hydrogen Flame Detection System for Rocket Propulsion,Small Business Innovation Research/Small Business Tech Transfer,"TX13.2.2 Propulsion, Exhaust, and Propellant Management",NASA has long used liquid hydrogen as a fuel and plans to continue using it in association with their advanced nuclear thermal propulsion technology. Hydrogen fire detection is critical for rocket propulsion safety and maintenance. A significant fire at a r...,This technology has near term direct application for monitoring hydrogen fires within several NASA propulsion test and launch facilities. This capability will enhance the safety...,4,7,High,Mid,0.5659,Mid,0.5471,Mid,0.6234,Mid,0.7699,raw_excel_test_split,Mid,Mid,Mid
RAW-TEST-0002,101889,Intelligent Electronic Speed Controller,Small Business Innovation Research/Small Business Tech Transfer,TX15.1.3 Aeroelasticity,This project will result in the commercialization of an Intelligent Electronic Speed Controller (IESC) for use on Unmanned Aerial Vehicles (UAVs). The IESC will advance the state-of-the-art of health-state awareness. This will be achieved through the integr...,This effort supports the objectives of the NASA Unmanned Aerial System Traffic Management (UTM) system concept and also the activities of NASA's Small Unmanned Aerial Vehicle La...,5,9,High,High,0.5803,High,0.5381,High,0.6666,Mid,0.7092,raw_excel_test_split,Mid,High,High
RAW-TEST-0003,101916,Polymer Coating-Based Contaminant Control/Elimination for Exo-S Starshade Probe,Small Business Innovation Research/Small Business Tech Transfer,TX08.2.2 Structures and Antennas,"Our First Contact Polymer (FCP) is an easy-to-apply, residue-less, peelable strip coat that protects and cleans optics, detectors, and other sensitive surfaces, restoring them to a pristine condition. Using FCP is as simple as spraying or brushing it on a s...","Our surface-specific stripcoatings will provide superior cleaning & protection from recontamination. In Phase I , we began developing a truly enabling, crosscutting technology t...",4,7,High,Mid,0.5966,Mid,0.4923,Mid,0.8572,Mid,0.6664,raw_excel_test_split,Mid,Mid,Mid
RAW-TEST-0004,102310,Tapered Amplifiers for Cold-Atom Optical Systems (TACOS),Small Business Innovation Research/Small Business Tech Transfer,TX08.1.5 Lasers,AOSense proposes to develop compact laser amplifier modules for cold-atom optical systems. The device would deliver > 1 W of power in optical fiber at 852 nm when paired with an appropriate narrow-linewidth master laser oscillator. A key feature is the inte...,Earth and planetary static and time-variable gravity mapping Asteroid tomography for rendezvous or planetary defense Gravitational wave detection and tests of fundamental physic...,1,7,High,Low,0.5657,Mid,0.6486,Mid,0.9824,Mid,0.8081,raw_excel_test_split,Mid,Mid,Low
RAW-TEST-0005,102510,An Extensible Tool for Estimating Space Weather Benchmarks,Small Business Innovation Research/Small Business Tech Transfer,TX11.6.7 High-Performance Data Analytics Platform,"Space weather benchmarks are recognized as a crucial product for a variety of government and industry stakeholders. Until now, they have been computed primarily from a scientific perspective, on an individual basis, and, to a large extent, without cross-val...","Our tool would be valuable to a variety of NASA groups, including the Space Physics Data Facility (SPDF) and the Community Coordinated Modeling Center (CCMC). The SPDF, who mana...",6,7,High,High,0.5243,High,0.489,Mid,0.9749,Mid,0.7702,raw_excel_test_split,Mid,High,High
RAW-TEST-0006,102571,"Chip-Based ADS-B for High Density, Low Altitude UAV Operations",Small Business Innovation Research/Small Business Tech Transfer,TX15.1.4 Aeroacoustics,"KalScott proposes to complete the development of a chip-based ADS-B for high-density, low-altitude UAV operations in the national airspace. This effort will consist of designing and fabricating a multi-band transceiver chip that can provide ADS-B functional...","The ADS-B chip can be integrated into several NASA UTM projects underway, aimed at the safe integration of UAVs into the national airspace. Discussions with the NASA COTR have i...",5,7,High,High,0.6218,High,0.5506,Mid,0.5688,Mid,0.6453,raw_excel_test_split,Mid,High,High
RAW-TEST-0007,102577,Clean Catalysts- Porous Solid Carbon Manufacturing System,Small Business Innovation Research/Small Business Tech Transfer,,"NASA can effect major benefits to mankind by assisting in the adaptation of advanced life support technology to terrestrial applications. Among the most economically potent spinoff candidates are heterogeneous catalysts. Applied to US manufacturing, Porous ...","Crew Health and Safety in Long-Duration Missions -ISS Water Recovery System -L2, Lunar & Mars Platforms Hydrodesulfurization Clean Technology for Polymer Production Conversion o...",4,9,High,Mid,0.616,Mid,0.5116,Mid,0.9172,Mid,0.7499,raw_excel_test_split,Mid,Mid,Mid
RAW-TEST-0008,10262,Innovative Solid State Lighting Replacements for Industrial and Test Facility Locations,Small Business Innovation Research/Small Business Tech Transfer,TX06.1.4 Habitation Systems,"The proposed innovation is the replacement of existing test stand and parking lot fixtures with current SSL LED technology. The replacement fixtures will reduce energy consumption, generate less heat and provide maintenance free operation for over 50,000 ho...",Energy Focus currently sells a wide range of commercial SSL lighting products: LED Dock Lights LED Globe Lights LED Light Rails LED MR-16 replacements Energy Focus Inc has tradi...,5,7,High,High,0.5236,Mid,0.4095,High,0.4869,Mid,0.6258,raw_excel_test_split,Mid,Mid,High
RAW-TEST-0009,102713,HeldenDesign: An Automated Aircraft Drag Optimization Method Using Knowledge-Based Design Tools,Small Business Innovation Research/Small Business Tech Transfer,TX15.1.6 Advanced Atmospheric Flight Vehicles,"Successful completion of our Phase II effort results in an automated, robust, and rapid aircraft drag optimization method (called HeldenDesign) that is an integral part of our vision to revolutionize the aircraft analysis and design process. HeldenDesign co...","The successful completion of this Phase I effort supports all NASA programs and projects that use CFD for advanced aircraft concept design, launch vehicle design, and planetary ...",3,7,High,Mid,0.7694,Mid,0.5217,Mid,0.7067,Mid,0.7908,raw_excel_test_split,Mid,Mid,Mid
RAW-TEST-0010,102770,Improved Veritrek ROM software to support future missions,Small Business Innovation Research/Small Business Tech Transfer,TX14.2.5 Thermal Control Analysis,"This CCRPP is targeted towards NASA and Department of Defense (DoD) customers that benefit from: 1) reduced computational burden and cost of traditional thermal design, analysis, test, and verification and 2) new analysis capabilities that help enable futur...","NASA JPL needs the proposed Veritrek computational efficiency improvements for the Mars 2020 and Europa Clipper missions, and uncertainty quantification capabilities to support ...",7,9,High,High,0.5484,High,0.5031,High,0.7227,Mid,0.6517,raw_excel_test_split,Mid,High,High
