project_id,project_title,program,primary_tx,description_excerpt,benefits_excerpt,start_trl_reference_only,end_trl,trl_delta,target_label,split
18227,">1,000 W/kg Rad-Hard, High-Voltage PV Blanket at < $50/W IMM Cell Cost",Small Business Innovation Research/Small Business Tech Transfer,TX03.1.1 Photovoltaic Electrical Power,"The innovation is a new type of Stretched Lens Array (SLA) with a much thinner, lighter and more robust Fresnel lens than prior versions. The new lens enables a full blanket-level specific power > 1,000 W/kg, including lenses, the complete PV cell circuit (including cells, encapsulation, high-voltage insulation, and...","The new SLA will apply to a wide range of NASA missions, most of which use solar power. The new SLA's superior attributes include scalability to high power, radiation hardness at low mass penalty, reliable high-voltag...",3,4,1,Mid,train
95588,100 eV Resolution Detectors for Hard X-ray Doppler Tomography of Supernova Remnants,Space Technology Research Grants,TX08.1.1 Detectors and Focal Planes,"Supernovae are the energetic cosmic source of heavy elements, which spread through the universe and partake in the creation of planets, stars, and other astronomical objects. Understanding the physics of supernovae is an important step in explaining the structure of our universe as well as predicting its ongoing dev...",Understanding the physics of supernovae is an important step in explaining the structure of our universe as well as predicting its ongoing development. Observations of supernova remnants will be a valuable diagnostic ...,2,3,1,Low,train
91599,"100GB Rad Tolerant Solid State Drive (SSD), Year 1",Center Innovation Fund: JPL CIF,,Conduct a heavy ion test campaign to characterize single event induced errors and adapt and evolve initial successful FY15 TID methodologies and algorithms. Multiple bit upset rates and possible single event upsets and functional interrupts need to characterized and factored into the overall error correction and mit...,"Every NASA mission fundamentally depends on nonvolatile memory, from C&DH to GNC to Science data and from cubesats to Class A projects. JPL has a history of well screened, aerospace grade flash memory causing signific...",3,5,2,Mid,test
146042,"100GB Rad Tolerant Solid State Drive (SSD), Year 2",Center Innovation Fund: JPL CIF,,Conduct a heavy ion test campaign to characterize single event induced errors and adapt and evolve initial successful FY15 TID methodologies and algorithms. Multiple bit upset rates and possible single event upsets and functional interrupts need to characterized and factored into the overall error correction and mit...,"Every NASA mission fundamentally depends on nonvolatile memory, from C&DH to GNC to Science data and from cubesats to Class A projects. JPL has a history of well screened, aerospace grade flash memory causing signific...",3,5,2,Mid,train
33810,100-lbf Non-Toxic Storable Liquid Propulsion,Small Business Innovation Research/Small Business Tech Transfer,TX01.1.2 Earth Storable Propellants,"NASA's Road Maps for both Launch and In Space Propulsion call for the development of non-toxic, monopropellant reaction control systems to replace the current toxic hydrazine based systems. The Orion Multi-Purpose Crew Vehicle capsule with twelve 160 pound force (lbf) hydrazine monopropellant thrusters and the Orion...",NASA applications include reaction control thrusters for the Orion MPCV capsule and service module; 100lbf thrusters in support of Commercial Crew and Cargo spacecraft; Reaction Control Systems for Space Launch System...,3,5,2,Mid,train
18339,100-lbf Non-Toxic Storable Liquid Propulsion,Small Business Innovation Research/Small Business Tech Transfer,TX01.1.2 Earth Storable Propellants,"NASA's Road Maps for both Launch and In Space Propulsion call for the development of non-toxic, monopropellant reaction control systems to replace current state-of-art hydrazine. The Orion Multi-Purpose Crew Vehicle capsule with twelve 160 pound force (lbf) hydrazine monopropellant thrusters and the Orion Service Mo...",NASA applications include reaction control thrusters for the Orion MPCV capsule and service module; 100lbf thrusters in support of Commercial Crew and Cargo spacecraft; Reaction Control Systems for Space Launch System...,3,4,1,Mid,valid
113022,100s of kW Peak Power Fiber Amplifier for Next-Generation LiDAR Application,Small Business Innovation Research/Small Business Tech Transfer,TX08.1.5 Lasers,"Based on our proprietary award-winning fiber laser technology, AdValue Photonics proposes an enabling fiber amplifier technology for the proposed NASA's next-generation topographic LiDAR mapping applications. This technology can easily be extended from the near-infrared spectral region to the visible green region vi...","This high-peak-power high-energy narrow-linewidth, pulsed fiber laser/amplifier provides an enabling technology for the proposed NASA's next generation laser altimeter, which can be an innovative component in NASA's n...",3,4,1,Mid,train
112891,100s of kW Peak Power Fiber Amplifier for Next-Generation LiDAR Application,Small Business Innovation Research/Small Business Tech Transfer,TX08.1.5 Lasers,"Based on our proprietary award-winning fiber laser technology, AdValue Photonics proposes an enabling fiber amplifier technology for the proposed NASA's next-generation topographic LiDAR mapping applications. This technology can easily be extended from the near-infrared spectral region to the visible green region vi...","The proposed high-peak-power high-energy narrow-linewidth, pulsed fiber laser/amplifier provides an enabling technology for NASA's next-generation LiDAR systems for measurements of the atmosphere and gas contents of t...",1,3,2,Low,valid
33746,100W High Efficiency 1550 nm Pulsed Fiber Laser,Small Business Innovation Research/Small Business Tech Transfer,TX05.1.3 Lasers,"High peak power short pulsed lasers have been considered to be an enabling technology to build high power transmitters for future deep space high rate space communications. However, to achieve a high power at 100W level with a short pulse width and >25% wall plug efficiency still remains an issue unsolved. PolarOnyx...","For future NASA's deep space missions, high efficiency and high power pulsed fiber lasers have been considered to be an enabling technology to build high power transmitters.The proposed short pulse high power fiber la...",4,6,2,Mid,train
90352,1015 PTT Segment MEMS DM Development,Small Business Innovation Research/Small Business Tech Transfer,TX08.1.3 Optical Components,"Microelectromechanical systems (MEMS) technology has the potential to create deformable mirrors (DM) with more than 10^4 actuators with size, weight, and power specifications that are far lower than conventional piezoelectric and electrostrictive DMs. However, considerable development is necessary to take state-of-t...","Iris AO technology can be a key enabling component in a host of future NASA missions, including the space telescopes of the SMEX, DISCOVERY and FLAGSHIP programs, and also technological development funded by the SAT a...",4,4,0,Mid,train
