project_id,project_title,target_label,predicted_label,confidence,rubric_scores,retrieval_distribution,top_evidence_sentences,missing_high_trl_reason,final_reason
112878,Three Band Thermal Infrared Detector for CubeSats and UAS,High,High,0.5990706328952288,"{'principle_score': 0.0, 'concept_score': 0.25, 'lab_validation_score': 0.0, 'prototype_score': 0.25, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.2}","{'low': 0.0, 'mid': 0.6, 'high': 0.4}","As a result the TBIRD will be suitable for a wide range of applications and operational concepts, both space based and airborne. | As a result the TBIRD will be suitable for a wide range of applications and operational concepts, both space based and airborne. | The proposed Phase II prototype will deliver high spatial resolution, wide field of view, high signal to noise performance, and three spectral bands. | The proposed Phase II prototype will deliver high spatial resolution, wide field of view, high signal to noise performance, and three spectral bands. | commercialization_context The system will be useful for a wide variety of environmental research, disaster response, wildfire science, wildfire detection and mapping, oil spill mapping and detection, and thermal anomaly mapping in general.",,"High-TRL deployment or commercialization evidence was strong enough, and retrieval/model signals support a high maturity class."
12089,Exploration Technology Development including Surface Acoustic Wave RFID chips,Mid,Low,0.6517518005102494,"{'principle_score': 0.0, 'concept_score': 0.25, 'lab_validation_score': 0.4, 'prototype_score': 0.25, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.2}","{'low': 0.6, 'mid': 0.4, 'high': 0.0}","Naval Research Lab miniature microbial fuel cell, modulating retrroeflector, X-band switchable radio/radar). | Naval Research Lab miniature microbial fuel cell, modulating retrroeflector, X-band switchable radio/radar). | commercialization_context Outcomes: Analyses for system performance in a deep space environment, breadboard-level hardware fabricated for laboratory testing, preliminary system concept for a flight quality article | commercialization_context Outcomes: Analyses for system performance in a deep space environment, breadboard-level hardware fabricated for laboratory testing, preliminary system concept for a flight quality article | commercialization_context Outcomes: Analyses for system performance in a deep space environment, breadboard-level hardware fabricated for laboratory testing, preliminary system concept for a flight quality article",,"Evidence is mainly concept or early validation oriented, with limited prototype or deployment signals; therefore the project was classified as Low."
158539,Improved Nucleation-Mode Aerosol Sizing Spectrometry through Pulse Height Analysis,Mid,Mid,0.5664419751938099,"{'principle_score': 0.0, 'concept_score': 0.0, 'lab_validation_score': 0.0, 'prototype_score': 0.0, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.2}","{'low': 0.2, 'mid': 0.4, 'high': 0.4}",commercialization_context The successful implementation of PHA to a single channel and successfully stitching together subsequent channels; would allow a 5-channel NMASS to retrieve size distributions from 3-64 nm in 14 bins at 1 Hz; compared to the current limitation of 4 bins.,,"Prototype, laboratory, or relevant-environment evidence was detected, but operational environment evidence was weak; therefore the project was classified as Mid."
113165,Deep Space Navigation of Distributed Small Spacecraft using Variable Celestial Sources,Low,Low,0.6683395924196976,"{'principle_score': 0.0, 'concept_score': 0.5, 'lab_validation_score': 0.2, 'prototype_score': 0.25, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.2}","{'low': 0.4, 'mid': 0.6, 'high': 0.0}","The concept creates photon measurements across each source observed in unique energy bands where signals are most beneficial, and blends the diverse signals into a single spacecraft position and velocity solution. | Previous work by ASTER Labs has demonstrated concept feasibility of X-ray navigation (XNAV) and gamma-ray navigation (GLINT) as stand-alone architectures. | The HYNAV instrument unifies the two individual concepts while adding radio observations into an operational prototype hardware instrument and software package. | The HYNAV instrument unifies the two individual concepts while adding radio observations into an operational prototype hardware instrument and software package. | Previous work by ASTER Labs has demonstrated concept feasibility of X-ray navigation (XNAV) and gamma-ray navigation (GLINT) as stand-alone architectures.",,"Evidence is mainly concept or early validation oriented, with limited prototype or deployment signals; therefore the project was classified as Low."
94858,Parts Selection and Testing for Risk Tolerant Missions,Mid,Mid,0.9118055603515766,"{'principle_score': 0.0, 'concept_score': 0.0, 'lab_validation_score': 0.0, 'prototype_score': 0.0, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.2}","{'low': 0.2, 'mid': 0.6, 'high': 0.2}",commercialization_context The anticipated outcome of this project is the maturation and infusion of parts selection processes and practices into a product development.,,"Prototype, laboratory, or relevant-environment evidence was detected, but operational environment evidence was weak; therefore the project was classified as Mid."
33603,A Novel 3D Printer to Support Additive Manufacturing of Gradient Metal Alloy Structures,Mid,Low,0.704131363207584,"{'principle_score': 0.0, 'concept_score': 0.0, 'lab_validation_score': 0.0, 'prototype_score': 0.25, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.6}","{'low': 0.2, 'mid': 0.8, 'high': 0.0}","commercialization_context The proposed printing tool will support NASA Space Launch System to create gradient metal alloy structures with superior mechanical properties, and to build more efficient space vehicles. | In addition to the NASA applications, the proposed 3D printer can also be used in various military and civilian market sectors for quick prototyping and low-volume productions of parts with complex shapes and configurations. | The tool can be used by hobbyists, scientists and engineers to quickly fabricate prototypes to validate their designs for a wide variety of applications, spanning from toys, dental products, industrial and aerospace parts (e.g.",,"Evidence is mainly concept or early validation oriented, with limited prototype or deployment signals; therefore the project was classified as Low."
91729,Evaluation of Carbon Composite Vessels Fabrication using Ionic Liquid Epoxies for Cryogenic Liquid Containment,Mid,Mid,0.7959896953830073,"{'principle_score': 0.0, 'concept_score': 0.0, 'lab_validation_score': 0.0, 'prototype_score': 0.0, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.2}","{'low': 0.2, 'mid': 0.8, 'high': 0.0}",Our initial work showed that an unadulterated ionic liquid (IL) carbon-fiber composite exhibited improved properties over an optimized commercial product at cryogenic temperatures. | Our initial work showed that an unadulterated ionic liquid (IL) carbon-fiber composite exhibited improved properties over an optimized commercial product at cryogenic temperatures.,,"Prototype, laboratory, or relevant-environment evidence was detected, but operational environment evidence was weak; therefore the project was classified as Mid."
92581,The World is Not Enough (WINE): Harvesting Local Resources for Eternal Exploration of Space,Mid,High,0.6786436409763258,"{'principle_score': 0.0, 'concept_score': 0.0, 'lab_validation_score': 0.2, 'prototype_score': 0.0, 'relevant_environment_score': 0.5, 'operational_environment_score': 0.0, 'commercialization_score': 0.4}","{'low': 0.6, 'mid': 0.4, 'high': 0.0}","In Phase 2, we propose to develop a testbed of the critical ISRU/propulsion system (regolith -> volatiles -> tank -> thruster) and GNC technology, and in Phase 3 we will demonstrate it in space as a hitchhiker payload on a mission such as EM-1 or EM-2, or onboard the International Space Station (ISS). | An ISS demonstration can extract water from a meteorite analog (brought up to ISS), use the water to fuel a WINE CubeSat, eject it into LEO, and measure propulsion performance to improve the technology as it demonstrates a change in Delta-V from asteroid-mined water. | commercialization_context NASA can use this system to prospect for mining that will support Mars exploration missions. | Investors in commercial space activity will see that asteroid mining is real, and that transporting spacecraft from LEO to GEO is a viable business worthy of funding, which will create customers for space mining. | 3D printing enables development of steam thrusters (higher Isp than cold gas) as well as tanks that fit within the available space within the CubeSat.",,"High-TRL deployment or commercialization evidence was strong enough, and retrieval/model signals support a high maturity class."
8982,Human Factors Analysis Support Tool (H-FAST),Mid,Mid,0.5343978212609362,"{'principle_score': 0.25, 'concept_score': 0.0, 'lab_validation_score': 0.4, 'prototype_score': 0.0, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.4}","{'low': 0.4, 'mid': 0.6, 'high': 0.0}","For DoD customers, it would be necessary to include more Military Standard (MIL-STD) guidelines, project-specific requirements, and verification methods, to identify relevant design patterns for military applications, and to link to military-relevant research sources (e.g., Army Research Laboratory, Office of Naval Research). | commercialization_context Department of Defense Applications: We anticipate that H-FAST will provide a useful, nearly directly-usable tool for other agencies involved in large scale system acquisition. | Entrepreneur Center Application: Another possible non-NASA commercial application of H-FAST would be as a market validation tool for an Entrepreneur/Business Incubation Center. | In order to be successful, the human-computer interactions in these systems need to follow a principle-based design process. | In order to be successful, the human-computer interactions in these systems need to follow a principle-based design process.",,"Prototype, laboratory, or relevant-environment evidence was detected, but operational environment evidence was weak; therefore the project was classified as Mid."
95640,Myco-architecture off planet: growing surface structures at destination,Low,Low,0.8295316920541171,"{'principle_score': 0.0, 'concept_score': 0.25, 'lab_validation_score': 0.0, 'prototype_score': 0.0, 'relevant_environment_score': 0.0, 'operational_environment_score': 0.0, 'commercialization_score': 0.2}","{'low': 1.0, 'mid': 0.0, 'high': 0.0}","Our concept fits within the Mars DRA 5.0 'commuter' scenario, with the major difference being that the habitats and the shells of the rovers would be built at destination. | Architectural design concepts based on this vision will be examined for use in a mission context including mass trade-offs, and temperature inputs, as well as suggesting new terrestrial routes to infusion where rapidly built, lightweight structures are desired. | Mycelial materials, already commercially produced, are known insulators, fire retardant, and do not produce toxic gasses. | Mycelial materials, already commercially produced, are known insulators, fire retardant, and do not produce toxic gasses.",,"Evidence is mainly concept or early validation oriented, with limited prototype or deployment signals; therefore the project was classified as Low."
