name,text_features,feature_variant,classifier,uses_pseudo_start,uses_rubric_scores,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_mae
word__text_meta_retrieval__linear_svc_C0.5,word,text_meta_retrieval,linear_svc_C0.5,False,False,0.6919072408897302,0.5515813529550656,0.680822928608534,0.3175579744439186
word__text_meta_retrieval__linear_svc_C1,word,text_meta_retrieval,linear_svc_C1,False,False,0.6791292001893043,0.5392488442959057,0.6693253869391089,0.330809275911027
word__text_meta_retrieval__logistic_regression_C1,word,text_meta_retrieval,logistic_regression_C1,False,False,0.6379555134879319,0.5450087629451178,0.6484990377685687,0.3852342640795078
word__text_meta_retrieval__calibrated_linear_svc_C0.5,word,text_meta_retrieval,calibrated_linear_svc_C0.5,False,False,0.7117841930903928,0.4885571315690936,0.6750173101177689,0.29342167534311403
word__text_meta_retrieval_pseudo__linear_svc_C0.5,word,text_meta_retrieval_pseudo,linear_svc_C0.5,True,False,0.689540937056318,0.516919397338144,0.6667476136026482,0.3166114529105537
word__text_meta_retrieval_pseudo__linear_svc_C1,word,text_meta_retrieval_pseudo,linear_svc_C1,True,False,0.6923805016564126,0.5344108086848893,0.673477142146575,0.3142451490771415
word__text_meta_retrieval_pseudo__logistic_regression_C1,word,text_meta_retrieval_pseudo,logistic_regression_C1,True,False,0.5906294368196876,0.514929474676851,0.6137959253745554,0.44533838144817794
word__text_meta_retrieval_pseudo__calibrated_linear_svc_C0.5,word,text_meta_retrieval_pseudo,calibrated_linear_svc_C0.5,True,False,0.6942735447231424,0.43596755838382717,0.6449638549118408,0.3090392806436346
word__text_meta_retrieval_rubric__linear_svc_C0.5,word,text_meta_retrieval_rubric,linear_svc_C0.5,False,True,0.6933270231897776,0.5553943495612026,0.6827273782525607,0.3161381921438713
word__text_meta_retrieval_rubric__linear_svc_C1,word,text_meta_retrieval_rubric,linear_svc_C1,False,True,0.6791292001893043,0.5454125754968451,0.6699236788568083,0.330809275911027
word__text_meta_retrieval_rubric__logistic_regression_C1,word,text_meta_retrieval_rubric,logistic_regression_C1,False,True,0.6393752957879791,0.550885843619067,0.6497611044260739,0.38334122101277807
word__text_meta_retrieval_rubric__calibrated_linear_svc_C0.5,word,text_meta_retrieval_rubric,calibrated_linear_svc_C0.5,False,True,0.7094178892569806,0.48342570323082407,0.6722321152528297,0.2957879791765263
word__text_meta_retrieval_pseudo_rubric__linear_svc_C0.5,word,text_meta_retrieval_pseudo_rubric,linear_svc_C0.5,True,True,0.690487458589683,0.5254860823799035,0.6706069015092048,0.3166114529105537
word__text_meta_retrieval_pseudo_rubric__linear_svc_C1,word,text_meta_retrieval_pseudo_rubric,linear_svc_C1,True,True,0.6881211547562707,0.5316183669303726,0.6707358243661166,0.31945101751064836
word__text_meta_retrieval_pseudo_rubric__logistic_regression_C1,word,text_meta_retrieval_pseudo_rubric,logistic_regression_C1,True,True,0.5944155229531471,0.5192708352582937,0.6175438368980823,0.43965925224798863
word__text_meta_retrieval_pseudo_rubric__calibrated_linear_svc_C0.5,word,text_meta_retrieval_pseudo_rubric,calibrated_linear_svc_C0.5,True,True,0.6975863700899195,0.4400235704277841,0.6492439862273828,0.30572645527685754
char__text_meta_retrieval__linear_svc_C0.5,char,text_meta_retrieval,linear_svc_C0.5,False,False,0.6691907240889731,0.5414973574640357,0.6664427088117855,0.34831992427827735
char__text_meta_retrieval__linear_svc_C1,char,text_meta_retrieval,linear_svc_C1,False,False,0.6620918125887364,0.5404403179335002,0.6616974537796022,0.3549455750118315
char__text_meta_retrieval__logistic_regression_C1,char,text_meta_retrieval,logistic_regression_C1,False,False,0.63180312352106,0.5449512344205011,0.6458035123628579,0.3956460009465215
char__text_meta_retrieval__calibrated_linear_svc_C0.5,char,text_meta_retrieval,calibrated_linear_svc_C0.5,False,False,0.7127307146237577,0.4837737073066924,0.6753037498616247,0.29200189304306673
char__text_meta_retrieval_pseudo__linear_svc_C0.5,char,text_meta_retrieval_pseudo,linear_svc_C0.5,True,False,0.6862281116895409,0.5230537965218135,0.667453523287178,0.3208707998106957
char__text_meta_retrieval_pseudo__linear_svc_C1,char,text_meta_retrieval_pseudo,linear_svc_C1,True,False,0.6843350686228111,0.5306022070173014,0.6697053759564363,0.3256034074775201
char__text_meta_retrieval_pseudo__logistic_regression_C1,char,text_meta_retrieval_pseudo,logistic_regression_C1,True,False,0.5939422621864647,0.5202156616730672,0.617742531441213,0.4434453383814482
char__text_meta_retrieval_pseudo__calibrated_linear_svc_C0.5,char,text_meta_retrieval_pseudo,calibrated_linear_svc_C0.5,True,False,0.6942735447231424,0.43271990224967904,0.6447544585890866,0.3095125414103171
char__text_meta_retrieval_rubric__linear_svc_C0.5,char,text_meta_retrieval_rubric,linear_svc_C0.5,False,True,0.6720302886890677,0.5495785786934205,0.6693414546111747,0.3459536204448651
char__text_meta_retrieval_rubric__linear_svc_C1,char,text_meta_retrieval_rubric,linear_svc_C1,False,True,0.661618551822054,0.5388231832590403,0.6606158942835026,0.35683861807856126
char__text_meta_retrieval_rubric__logistic_regression_C1,char,text_meta_retrieval_rubric,logistic_regression_C1,False,True,0.6336961665877898,0.5515070597552924,0.6469384884258731,0.391859914813062
char__text_meta_retrieval_rubric__calibrated_linear_svc_C0.5,char,text_meta_retrieval_rubric,calibrated_linear_svc_C0.5,False,True,0.7155702792238523,0.4863656975323562,0.6782685337427613,0.28916232844297207
char__text_meta_retrieval_pseudo_rubric__linear_svc_C0.5,char,text_meta_retrieval_pseudo_rubric,linear_svc_C0.5,True,True,0.6885944155229532,0.5278278139512323,0.6708175448398934,0.31897775674396595
char__text_meta_retrieval_pseudo_rubric__linear_svc_C1,char,text_meta_retrieval_pseudo_rubric,linear_svc_C1,True,True,0.6824420255560814,0.5328972310389845,0.6691349635051622,0.32702318977756745
char__text_meta_retrieval_pseudo_rubric__logistic_regression_C1,char,text_meta_retrieval_pseudo_rubric,logistic_regression_C1,True,True,0.6019876952200662,0.527321937184987,0.6249254278730152,0.43114055844770466
char__text_meta_retrieval_pseudo_rubric__calibrated_linear_svc_C0.5,char,text_meta_retrieval_pseudo_rubric,calibrated_linear_svc_C0.5,True,True,0.6952200662565073,0.4333197014122427,0.6455458005720393,0.3085660198769522
word_char__text_meta_retrieval__linear_svc_C0.5,word_char,text_meta_retrieval,linear_svc_C0.5,False,False,0.6829152863227639,0.5499208522699303,0.6749796628872118,0.3303360151443445
word_char__text_meta_retrieval__linear_svc_C1,word_char,text_meta_retrieval,linear_svc_C1,False,False,0.6654046379555135,0.5310285219825314,0.658836249292903,0.3502129673450071
word_char__text_meta_retrieval__logistic_regression_C1,word_char,text_meta_retrieval,logistic_regression_C1,False,False,0.6464742072882158,0.5602600613375155,0.6569552861510956,0.3748225272124941
word_char__text_meta_retrieval__calibrated_linear_svc_C0.5,word_char,text_meta_retrieval,calibrated_linear_svc_C0.5,False,False,0.7146237576904875,0.4917440428160764,0.6779226597584364,0.28916232844297207
word_char__text_meta_retrieval_pseudo__linear_svc_C0.5,word_char,text_meta_retrieval_pseudo,linear_svc_C0.5,True,False,0.69380028395646,0.5332656463727042,0.6748251065677043,0.31377188831045905
word_char__text_meta_retrieval_pseudo__linear_svc_C1,word_char,text_meta_retrieval_pseudo,linear_svc_C1,True,False,0.6933270231897776,0.5437895685564174,0.6782684953928276,0.3142451490771415
word_char__text_meta_retrieval_pseudo__logistic_regression_C1,word_char,text_meta_retrieval_pseudo,logistic_regression_C1,True,False,0.6000946521533365,0.5245951349552208,0.6219214592708212,0.432560340747752
