project_id,title,description,objective,validation_text,program,primary_taxonomy,end_trl_class
NASA-001,Autonomous navigation prototype,Prototype autonomy stack for rover navigation using sensor fusion,Develop autonomous navigation for constrained terrain,The prototype was validated in a laboratory and simulation environment,Space Robotics,AI / Robotics,Mid
NASA-002,Laboratory validated sensor system,Optical sensor concept advanced into a bench test article,Validate sensing performance in controlled lab conditions,Bench test results show stable detection in laboratory trials,Space Instruments,Sensors,Mid
NASA-003,Operational rover deployment,Autonomous rover subsystem deployed in real-world mission operations,Operate navigation subsystem during field deployment,Operational environment validation was completed during deployment,Space Robotics,Autonomy,High
SAFE-004,Industrial hazard concept model,Basic research on AI hazard recognition principles for factories,Define theory and concept for visual risk detection,No prototype or laboratory validation has been conducted,Industrial Safety,AI Vision,Low
SAFE-005,Edge AI safety prototype,Edge AI camera prototype detects unsafe worker posture,Develop a pilot module for factory safety monitoring,The prototype was validated in lab with recorded video streams,Industrial Safety,Edge AI,Mid
SAFE-006,Commercial safety monitoring platform,Production-grade AI safety platform used in multiple factories,Scale operational safety analytics for industrial sites,Real-world deployment and commercial use have been verified,Industrial Safety,SaaS AI,High
MED-007,Clinical imaging theory,Theory for image reconstruction using neural priors,Explore basic research concept for next generation imaging,Only simulation proof of concept is available,Healthcare,AI Imaging,Low
MED-008,Lab validated diagnostic module,Diagnostic AI module validated using retrospective laboratory datasets,Develop prototype model for diagnostic triage,Validated in lab with benchmark datasets and controlled review,Healthcare,Clinical AI,Mid
MED-009,Hospital operational deployment,AI triage tool integrated into hospital production workflow,Support operational environment decision-making,Commercial use in hospital operations is documented,Healthcare,Clinical AI,High
ENERGY-010,Battery chemistry principle study,Principle-level study of battery degradation theory,Identify basic mechanisms and candidate materials,No bench test or prototype module exists yet,Energy,Materials,Low
ENERGY-011,Pilot battery testbed,Prototype battery management module evaluated in a relevant environment,Develop pilot module for industrial battery packs,Pilot deployment on a controlled testbed showed stable operation,Energy,Control Systems,Mid
ENERGY-012,Grid production optimizer,Production optimizer deployed for real-world grid management,Optimize commercial energy dispatch,Operational environment and production use confirmed,Energy,Optimization,High
ROBO-013,Manipulator breadboard,Breadboard robotic gripper with AI force control,Validate prototype control performance,The breadboard completed bench test and lab validation,Robotics,Control,Mid
ROBO-014,Factory robot field test,Autonomous inspection robot tested on industrial testbed,Conduct field test in relevant environment,Field test in a relevant environment was completed,Robotics,Industrial Safety,Mid
ROBO-015,Inspection robot commercial fleet,Inspection robot fleet used in commercial deployment,Operate autonomous inspection at production sites,Real-world deployment in production facilities is complete,Robotics,Industrial AI,High
AI-016,Explainable AI framework concept,Conceptual framework for explainable reasoning in R&D review,Develop theory and taxonomy for explainability,No laboratory validation evidence has been collected,AI Research,XAI,Low
AI-017,TRL reasoning prototype,Prototype reasoning engine estimates maturity from project text,Build pseudo-start and rubric evidence analysis,Validated in lab against sample project records,AI Research,NLP,Mid
AI-018,Enterprise deployment classifier,Classifier deployed in production grant review workflow,Support operational decision analytics,Commercial use and production monitoring are active,AI Research,Decision AI,High
ENV-019,Water quality sensor concept,Basic concept for low-cost water quality sensing,Explore principle and feasibility of sensor fusion,Only theory and concept evaluation are available,Environment,Sensors,Low
ENV-020,Pilot water monitoring system,Pilot deployment of water sensor module in river testbed,Validate prototype monitoring in relevant environment,Testbed pilot deployment produced field data,Environment,IoT,Mid
